entity,type,start,end,weeks,intensity,peak
Stock Value,FIN_INSTRUMENT,2020-04-06,2020-12-14,37,2152.5,2020-04-06
Nasdaq,FIN_INSTRUMENT,2020-03-30,2021-01-11,42,1801.0,2020-06-15
S&P 500,FIN_INSTRUMENT,2020-04-06,2021-01-11,41,1785.5,2020-05-04
NYSE,FIN_INSTRUMENT,2020-04-06,2021-01-11,41,1162.0,2020-04-27
Insider Transactions,CONCEPT,2020-10-26,2022-02-07,68,354.7,2021-08-09
Aurora Cannabis,COMP,2018-09-17,2020-02-10,74,348.2,2019-09-09
Insider Ownership,CONCEPT,2020-10-26,2022-02-07,68,346.9,2021-05-10
Pfizer,COMP,2020-04-06,2021-04-12,54,330.2,2020-11-09
Coronavirus,EVENT,2020-01-20,2020-11-09,43,326.5,2020-03-09
Disney,COMP,2019-04-01,2020-08-10,72,320.5,2020-03-23
Meta Platforms,COMP,2021-11-01,2023-12-11,111,319.4,2023-07-24
Gold,PRODUCT,2023-07-17,2023-11-27,20,306.6,2023-10-23
Natural Gas,PRODUCT,2023-03-13,2023-11-27,38,304.0,2023-07-24
GameStop,COMP,2020-12-28,2021-09-13,38,297.5,2021-01-25
Silver,PRODUCT,2023-07-17,2023-11-27,20,289.7,2023-09-18
Covid-19,EVENT,2020-02-17,2021-09-06,82,286.5,2020-10-05
Berkshire Hathaway,COMP,2020-01-06,2020-09-14,37,285.2,2020-02-24
Inflation,CONCEPT,2021-05-10,2023-02-06,92,276.3,2022-05-16
Canopy Growth,COMP,2018-12-10,2020-04-27,73,264.2,2019-12-02
Stocks,FIN_INSTRUMENT,2023-07-17,2023-10-23,15,256.5,2023-07-31
Novavax,COMP,2020-01-20,2021-05-10,69,254.1,2020-10-26
Analyst Target Price,ECON_INDICATOR,2023-07-17,2023-11-27,20,245.0,2023-07-24
Nvidia,COMP,2023-05-08,2023-12-11,32,244.7,2023-08-21
COVID-19,EVENT,2020-02-24,2021-02-01,50,234.3,2020-03-16
AI,CONCEPT,2023-02-13,2023-12-11,44,234.3,2023-08-21
Nasdaq 100 e-minis,FIN_INSTRUMENT,2020-04-13,2020-12-28,38,233.4,2020-05-11
Options Trading Volume,FIN_INSTRUMENT,2019-03-25,2020-02-24,49,216.8,2019-04-01
S&P 500 Index,FIN_INSTRUMENT,2023-07-17,2023-12-11,22,213.5,2023-09-11
Dow e-minis,FIN_INSTRUMENT,2020-04-13,2021-01-04,39,208.5,2020-05-04
Walmart,COMP,2019-04-01,2020-06-22,65,206.4,2020-02-24
General Electric,COMP,2019-01-28,2020-04-27,66,197.5,2019-10-21
Roku,COMP,2019-02-18,2020-04-06,60,196.2,2019-11-04
Earnings Growth,CONCEPT,2021-03-29,2022-01-31,45,193.4,2021-09-27
Netflix,COMP,2019-08-19,2020-04-20,36,189.9,2019-12-09
Boeing,COMP,2019-12-09,2021-01-25,60,189.5,2020-03-23
DraftKings,COMP,2020-05-04,2021-05-24,56,188.8,2020-05-11
Dividend,FIN_INSTRUMENT,2019-11-04,2020-06-29,35,179.5,2020-02-24
Earnings Estimate Revisions,CONCEPT,2022-01-17,2023-07-10,78,176.9,2022-10-31
Beyond Meat,COMP,2020-01-13,2021-02-01,56,175.9,2020-03-16
General Electric Company,COMP,2017-01-16,2018-04-30,68,175.1,2017-04-17
Moderna,COMP,2020-02-03,2021-03-01,57,174.9,2020-07-13
Walt Disney,COMP,2019-07-15,2021-02-22,85,172.0,2020-10-05
Plug Power,COMP,2020-07-13,2021-06-07,48,169.2,2020-09-21
Disney+,PRODUCT,2019-04-01,2020-12-14,90,168.6,2019-08-19
Insider Selling,CONCEPT,2021-02-08,2022-02-07,53,166.3,2021-05-10
Federal Reserve,ORG/REG,2023-07-24,2023-12-11,21,165.1,2023-09-18
Insider Buying,CONCEPT,2021-02-08,2022-02-07,53,162.6,2021-05-10
Stock Price,FIN_INSTRUMENT,2019-11-11,2020-03-23,20,161.2,2019-12-09
"Amazon.com, Inc.",COMP,2017-01-30,2018-07-02,75,153.7,2018-03-19
NASDAQ,FIN_INSTRUMENT,2020-06-08,2021-01-04,31,152.3,2020-09-21
Amazon,COMP,2019-08-05,2020-02-03,27,150.1,2019-11-25
Cronos Group,COMP,2018-08-06,2020-01-20,77,149.9,2018-08-27
AMC Entertainment,COMP,2020-03-09,2021-12-20,94,148.2,2021-01-25
Tesla,COMP,2023-06-12,2023-12-11,27,146.7,2023-10-16
Return on Capital Employed,ECON_INDICATOR,2021-04-05,2022-02-14,46,146.7,2021-06-14
BioNTech,COMP,2020-04-27,2021-09-27,75,145.3,2020-11-09
Alphabet,COMP,2019-04-29,2019-12-09,33,143.3,2019-04-29
